frame,time_s,x,y,z,conf
310,10.333,230.76,108.78,0.00970,0.335
311,10.367,230.77,109.47,0.00954,0.326
312,10.400,231.26,109.86,0.00952,0.274
313,10.433,232.59,109.04,0.00951,NaN
314,10.467,233.91,108.23,0.00949,NaN
315,10.500,235.23,107.42,0.00948,NaN
316,10.533,236.56,106.61,0.00946,NaN
317,10.567,237.88,105.79,0.00944,NaN
318,10.600,239.20,104.98,0.00943,NaN
319,10.633,240.52,104.17,0.00941,NaN
320,10.667,241.85,103.36,0.00940,NaN
321,10.700,243.17,102.54,0.00938,NaN
322,10.733,235.76,109.99,0.00990,0.251
323,10.767,236.84,109.40,0.00990,NaN
324,10.800,237.92,108.82,0.00990,NaN
325,10.833,235.42,111.73,0.01010,0.373
326,10.867,236.41,111.24,0.01010,NaN
327,10.900,237.39,110.76,0.01011,NaN
328,10.933,238.37,110.27,0.01011,NaN
329,10.967,239.36,109.78,0.01012,NaN
330,11.000,114.15,126.09,0.01010,0.278
331,11.033,82.02,130.08,0.01020,0.276
332,11.067,66.56,132.09,0.01011,0.305
333,11.100,57.82,133.19,0.01001,0.349
334,11.133,51.36,133.88,0.01059,0.276
335,11.167,48.25,134.20,0.01014,0.254
336,11.200,42.43,211.10,0.01324,0.280
337,11.233,42.81,183.75,0.01036,0.294
338,11.267,38.89,185.40,0.01037,NaN
339,11.300,107.44,263.56,0.05675,0.251
340,11.333,141.34,301.91,0.05577,0.273
341,11.367,140.75,306.98,0.05720,NaN
342,11.400,98.11,263.62,0.01198,0.282
343,11.433,77.72,236.48,0.00989,0.349
344,11.467,66.03,198.09,0.00971,0.337
345,11.500,58.67,183.86,0.00978,0.323
346,11.533,90.33,228.03,0.06641,0.355
347,11.567,74.28,213.19,0.01463,0.279
348,11.600,64.12,201.61,0.01019,0.362
349,11.633,57.40,190.50,0.01000,0.405
350,11.667,54.78,191.41,0.00982,NaN
351,11.700,52.15,192.31,0.00965,NaN
352,11.733,49.53,193.22,0.00947,NaN
353,11.767,46.90,194.12,0.00929,NaN
354,11.800,44.28,195.03,0.00911,NaN
355,11.833,41.66,195.94,0.00894,NaN
356,11.867,362.53,235.51,0.03420,0.261
357,11.900,369.23,237.53,0.03478,NaN
358,11.933,375.92,239.55,0.03535,NaN
359,11.967,301.73,184.37,0.01093,0.277
360,12.000,306.08,184.73,0.01072,NaN
361,12.033,310.44,185.10,0.01051,NaN
362,12.067,314.80,185.47,0.01030,NaN
363,12.100,319.15,185.83,0.01009,NaN
364,12.133,323.51,186.20,0.00987,NaN
365,12.167,327.87,186.57,0.00966,NaN
366,12.200,332.22,186.93,0.00945,NaN
367,12.233,336.58,187.30,0.00924,NaN
