frame,time_s,x,y,z,conf,audio_rms,centroid_hz,peak_hz,est_rpm
111,3.700,199.59,434.65,0.00277,0.319,NaN,NaN,129.20,1937.99
112,3.733,191.79,439.16,0.00277,0.364,NaN,NaN,129.20,1937.99
113,3.767,186.89,442.02,0.00277,0.375,NaN,NaN,131.53,1973.00
114,3.800,183.77,443.70,0.00276,0.315,NaN,NaN,139.97,2099.49
115,3.833,117.31,319.66,0.04199,0.459,NaN,NaN,139.97,2099.49
116,3.867,77.05,241.97,0.03053,0.412,NaN,NaN,111.79,1676.81
117,3.900,79.22,267.33,0.05091,0.255,NaN,NaN,86.13,1291.99
118,3.933,73.99,283.03,0.03959,0.306,NaN,NaN,86.13,1291.99
119,3.967,111.78,341.64,0.00583,0.253,NaN,NaN,86.13,1291.99
120,4.000,74.16,236.19,0.02599,0.351,NaN,NaN,88.99,1334.89
121,4.033,114.16,312.07,0.00478,0.261,NaN,NaN,96.90,1453.49
122,4.067,92.03,216.84,0.00837,0.299,NaN,NaN,98.37,1475.57
123,4.100,77.51,156.10,0.00867,0.306,NaN,NaN,107.67,1614.99
124,4.133,68.06,117.45,0.00876,0.306,NaN,NaN,107.67,1614.99
125,4.167,62.11,92.44,0.00877,0.381,NaN,NaN,107.67,1614.99
126,4.200,58.21,76.69,0.00870,0.304,NaN,NaN,107.67,1614.99
127,4.233,102.33,210.63,0.00324,0.268,NaN,NaN,118.43,1776.49
128,4.267,84.43,152.44,0.00838,0.257,NaN,NaN,118.43,1776.49
129,4.300,81.12,146.64,0.00838,NaN,NaN,NaN,118.43,1776.49
130,4.333,75.80,221.21,0.03718,0.297,NaN,NaN,118.43,1776.49
131,4.367,72.84,257.83,0.03843,0.322,NaN,NaN,119.04,1785.64
132,4.400,71.03,279.00,0.03854,0.356,NaN,NaN,129.20,1937.99
133,4.433,69.92,292.02,0.03854,0.363,NaN,NaN,119.21,1788.16
134,4.467,69.25,300.38,0.03854,0.276,NaN,NaN,129.20,1937.99
135,4.500,66.09,299.74,0.03939,NaN,NaN,NaN,129.20,1937.99
136,4.533,62.92,299.09,0.04024,NaN,NaN,NaN,129.20,1937.99
137,4.567,59.76,298.44,0.04109,NaN,NaN,NaN,129.20,1937.99
138,4.600,129.43,382.98,0.00358,0.290,NaN,NaN,139.97,2099.49
139,4.633,152.51,411.54,0.00280,0.331,NaN,NaN,139.97,2099.49
140,4.667,164.26,426.30,0.00274,0.309,NaN,NaN,139.97,2099.49
141,4.700,171.14,435.05,0.00273,0.301,NaN,NaN,139.97,2099.49
142,4.733,175.35,440.44,0.00273,0.277,NaN,NaN,139.97,2099.49
143,4.767,177.99,443.88,0.00273,0.300,NaN,NaN,139.97,2099.49
144,4.800,179.58,446.09,0.00273,0.286,NaN,NaN,139.97,2099.49
145,4.833,180.64,447.34,0.00274,0.345,NaN,NaN,150.73,2260.99
146,4.867,181.30,448.07,0.00274,0.362,NaN,NaN,150.73,2260.99
147,4.900,181.71,448.43,0.00274,0.357,NaN,NaN,150.73,2260.99
148,4.933,181.88,448.67,0.00274,0.362,NaN,NaN,150.73,2260.99
149,4.967,181.96,448.41,0.00274,0.419,NaN,NaN,150.73,2260.99
150,5.000,181.98,447.95,0.00274,0.403,NaN,NaN,150.73,2260.99
151,5.033,181.93,447.42,0.00274,0.414,NaN,NaN,150.73,2260.99
152,5.067,181.91,447.07,0.00274,0.379,NaN,NaN,150.73,2260.99
153,5.100,181.99,446.84,0.00274,0.299,NaN,NaN,150.73,2260.99
154,5.133,182.02,446.81,0.00274,0.254,NaN,NaN,150.73,2260.99
155,5.167,182.01,447.55,0.00274,0.367,NaN,NaN,150.73,2260.99
156,5.200,126.69,403.68,0.01434,0.265,NaN,NaN,150.73,2260.99
157,5.233,125.39,404.59,0.01451,NaN,NaN,NaN,150.73,2260.99
158,5.267,124.10,405.51,0.01469,NaN,NaN,NaN,159.52,2392.84
159,5.300,122.80,406.43,0.01486,NaN,NaN,NaN,158.79,2381.80
160,5.333,71.59,362.77,0.01515,0.305,NaN,NaN,150.73,2260.99
161,5.367,68.79,362.35,0.01533,NaN,NaN,NaN,161.50,2422.49
162,5.400,66.00,361.93,0.01550,NaN,NaN,NaN,155.48,2332.27
163,5.433,63.20,361.51,0.01568,NaN,NaN,NaN,150.73,2260.99
164,5.467,61.15,175.91,0.00870,0.270,NaN,NaN,161.50,2422.49
165,5.500,47.41,246.16,0.01506,0.394,NaN,NaN,161.50,2422.49
166,5.533,367.81,171.14,0.02365,0.507,NaN,NaN,161.50,2422.49
167,5.567,236.24,127.89,0.02383,0.570,NaN,NaN,161.50,2422.49
168,5.600,155.49,102.18,0.02334,0.459,NaN,NaN,161.50,2422.49
169,5.633,104.80,86.81,0.02281,0.491,NaN,NaN,161.50,2422.49
170,5.667,72.84,77.66,0.02186,0.475,NaN,NaN,161.50,2422.49
171,5.700,52.53,72.34,0.02178,0.368,NaN,NaN,161.50,2422.49
172,5.733,39.67,69.62,0.02134,0.322,NaN,NaN,161.50,2422.49
173,5.767,31.62,68.46,0.02090,0.384,NaN,NaN,161.50,2422.49
174,5.800,26.67,68.27,0.02086,0.309,NaN,NaN,161.50,2422.49
175,5.833,330.34,75.33,0.02874,0.480,NaN,NaN,161.50,2422.49
176,5.867,338.23,218.24,0.02152,0.412,NaN,NaN,161.50,2422.49
177,5.900,343.14,310.03,0.02132,0.366,NaN,NaN,161.50,2422.49
178,5.933,345.86,368.91,0.02172,0.457,NaN,NaN,161.50,2422.49
179,5.967,347.25,406.60,0.02315,0.536,NaN,NaN,161.50,2422.49
180,6.000,347.72,430.69,0.02232,0.314,NaN,NaN,161.50,2422.49
181,6.033,348.06,446.02,0.02181,0.377,NaN,NaN,161.50,2422.49
182,6.067,348.35,455.46,0.02221,0.414,NaN,NaN,161.50,2422.49
183,6.100,348.51,461.37,0.02270,0.435,NaN,NaN,161.50,2422.49
184,6.133,348.51,465.21,0.02274,0.331,NaN,NaN,161.50,2422.49
185,6.167,348.35,467.66,0.02228,0.415,NaN,NaN,161.50,2422.49
186,6.200,348.19,469.18,0.02271,0.380,NaN,NaN,163.39,2450.87
187,6.233,347.98,470.00,0.02228,0.452,NaN,NaN,250.77,3761.48
188,6.267,347.71,470.53,0.02224,0.521,NaN,NaN,161.50,2422.49
189,6.300,347.50,470.78,0.02270,0.525,NaN,NaN,161.50,2422.49
190,6.333,347.31,470.78,0.02274,0.439,NaN,NaN,161.50,2422.49
191,6.367,346.95,470.63,0.02274,0.374,NaN,NaN,161.50,2422.49
192,6.400,346.63,470.53,0.02274,0.360,NaN,NaN,161.50,2422.49
193,6.433,248.69,347.97,0.01029,0.471,NaN,NaN,161.50,2422.49
194,6.467,283.55,391.68,0.02123,0.381,NaN,NaN,161.50,2422.49
195,6.500,305.82,419.67,0.02215,0.371,NaN,NaN,161.50,2422.49
196,6.533,320.01,437.55,0.02269,0.452,NaN,NaN,161.50,2422.49
197,6.567,329.06,448.91,0.02183,0.430,NaN,NaN,170.14,2552.13
198,6.600,334.76,456.18,0.02176,0.368,NaN,NaN,169.70,2545.50
199,6.633,338.52,460.84,0.02219,0.322,NaN,NaN,161.50,2422.49
200,6.667,340.94,463.63,0.02223,0.367,NaN,NaN,171.09,2566.32
201,6.700,342.49,465.34,0.02223,0.334,NaN,NaN,161.50,2422.49
202,6.733,343.44,466.39,0.02223,0.352,NaN,NaN,161.50,2422.49
203,6.767,344.00,466.99,0.02223,0.353,NaN,NaN,161.50,2422.49
204,6.800,344.36,467.36,0.02223,0.329,NaN,NaN,161.50,2422.49
205,6.833,344.56,467.53,0.02179,0.281,NaN,NaN,164.59,2468.85
206,6.867,227.60,335.68,0.01660,0.318,NaN,NaN,164.49,2467.28
207,6.900,152.35,251.14,0.01640,0.359,NaN,NaN,161.50,2422.49
208,6.933,104.18,196.95,0.01639,0.413,NaN,NaN,161.50,2422.49
209,6.967,73.26,162.28,0.01664,0.620,NaN,NaN,171.95,2579.25
210,7.000,53.50,139.90,0.01666,0.350,NaN,NaN,166.50,2497.56
211,7.033,40.94,125.72,0.01666,0.409,NaN,NaN,172.27,2583.98
212,7.067,53.33,129.61,0.00978,0.281,NaN,NaN,161.50,2422.49
213,7.100,47.67,122.80,0.00949,NaN,NaN,NaN,161.50,2422.49
214,7.133,60.46,132.79,0.00902,0.285,NaN,NaN,161.50,2422.49
215,7.167,66.34,137.40,0.00899,0.316,NaN,NaN,168.42,2526.26
216,7.200,69.60,139.77,0.00898,0.306,NaN,NaN,171.42,2571.37
217,7.233,71.44,141.87,0.00906,0.268,NaN,NaN,161.50,2422.49
218,7.267,72.88,143.53,0.00907,0.253,NaN,NaN,161.50,2422.49
219,7.300,223.92,185.85,0.04248,0.302,NaN,NaN,168.12,2521.85
220,7.333,224.59,182.08,0.04333,NaN,NaN,NaN,161.50,2422.49
221,7.367,210.72,117.49,0.01109,0.325,NaN,NaN,169.51,2542.66
222,7.400,210.94,111.85,0.01088,NaN,NaN,NaN,161.50,2422.49
223,7.433,211.17,106.21,0.01066,NaN,NaN,NaN,162.87,2442.99
224,7.467,118.62,226.42,0.01229,0.263,NaN,NaN,172.27,2583.98
225,7.500,83.38,270.97,0.01233,0.315,NaN,NaN,172.27,2583.98
